11 20:38:15,117 - SplitNNServer - INFO - 35140 - phase=train acc=0.9776234567901234 loss=0.026239952072501183 epoch=1 and step=80
2022-03-11 20:38:22,303 - SplitNNServer - INFO - 35140 - phase=train acc=0.9777227722772277 loss=0.16698554158210754 epoch=1 and step=100
2022-03-11 20:38:29,768 - SplitNNServer - INFO - 35140 - phase=train acc=0.9768853305785123 loss=0.20222167670726776 epoch=1 and step=120
2022-03-11 20:38:37,220 - SplitNNServer - INFO - 35140 - phase=train acc=0.9759530141843972 loss=0.10246248543262482 epoch=1 and step=140
2022-03-11 20:38:44,134 - SplitNNServer - INFO - 35140 - phase=train acc=0.9753493788819876 loss=0.23424826562404633 epoch=1 and step=160
2022-03-11 20:38:51,021 - SplitNNServer - INFO - 35140 - phase=train acc=0.9743611878453039 loss=0.03373550996184349 epoch=1 and step=180
2022-03-11 20:38:57,623 - SplitNNServer - INFO - 35140 - phase=train acc=0.9751243781094527 loss=0.08711310476064682 epoch=1 and step=200
2022-03-11 20:39:04,792 - SplitNNServer - INFO - 35140 - phase=train acc=0.9748303167420814 loss=0.08574949204921722 epoch=1 and step=220
2022-03-11 20:39:12,883 - SplitNNServer - INFO - 35140 - phase=train acc=0.975103734439834 loss=0.041724223643541336 epoch=1 and step=240
2022-03-11 20:39:19,218 - SplitNNServer - INFO - 35140 - phase=train acc=0.9749161877394636 loss=0.2437194585800171 epoch=1 and step=260
2022-03-11 20:39:26,383 - SplitNNServer - INFO - 35140 - phase=train acc=0.9749777580071174 loss=0.05141105502843857 epoch=1 and step=280
2022-03-11 20:39:34,150 - SplitNNServer - INFO - 35140 - phase=train acc=0.9741486710963455 loss=0.023496124893426895 epoch=1 and step=300
2022-03-11 20:40:26,427 - SplitNNServer - INFO - 35140 - worker=1 phase=validation acc=0.9741920405982906 loss=0.026878819829892788 epoch=2 server_send=0 server_receive=7536 and step=468
2022-03-11 20:40:26,734 - SplitNNServer - INFO - 35140 - phase=train acc=0.984375 loss=0.06317856907844543 epoch=2 and step=0
2022-03-11 20:40:34,177 - SplitNNServer - INFO - 35140 - phase=train acc=0.9791666666666666 loss=0.08996015787124634 epoch=2 and step=20
2022-03-11 20:40:42,942 - SplitNNServer - INFO - 35140 - phase=train acc=0.9763719512195121 loss=0.10011947154998779 epoch=2 and step=40
2022-03-11 20:40:49,268 - SplitNNServer - INFO - 35140 - phase=train acc=0.9743852459016393 loss=0.18506544828414917 epoch=2 and step=60
2022-03-11 20:40:56,475 - SplitNNServer - INFO - 35140 - phase=train acc=0.9741512345679012 loss=0.04991861805319786 epoch=2 and step=80
2022-03-11 20:41:03,687 - SplitNNServer - INFO - 35140 - phase=train acc=0.9749381188118812 loss=0.013471950776875019 epoch=2 and step=100
2022-03-11 20:41:10,000 - SplitNNServer - INFO - 35140 - phase=train acc=0.9755940082644629 loss=0.03960685059428215 epoch=2 and step=120
2022-03-11 20:41:17,517 - SplitNNServer - INFO - 35140 - phase=train acc=0.9759530141843972 loss=0.18013478815555573 epoch=2 and step=140
2022-03-11 20:41:25,270 - SplitNNServer - INFO - 35140 - phase=train acc=0.9759316770186336 loss=0.08146235346794128 epoch=2 and step=160
2022-03-11 20:41:32,736 - SplitNNServer - INFO - 35140 - phase=train acc=0.976864640883978 loss=0.2454392910003662 epoch=2 and step=180
2022-03-11 20:41:39,366 - SplitNNServer - INFO - 35140 - phase=train acc=0.9770677860696517 loss=0.06294861435890198 epoch=2 and step=200
2022-03-11 20:41:46,818 - SplitNNServer - INFO - 35140 - phase=train acc=0.9770927601809954 loss=0.05991312488913536 epoch=2 and step=220
2022-03-11 20:41:54,304 - SplitNNServer - INFO - 35140 - phase=train acc=0.9771784232365145 loss=0.04388977959752083 epoch=2 and step=240
2022-03-11 20:42:01,192 - SplitNNServer - INFO - 35140 - phase=train acc=0.9773108237547893 loss=0.0412861630320549 epoch=2 and step=260
2022-03-11 20:42:08,659 - SplitNNServer - INFO - 35140 - phase=train acc=0.9767571174377224 loss=0.13546887040138245 epoch=2 and step=280
2022-03-11 20:42:14,948 - SplitNNServer - INFO - 35140 - phase=train acc=0.9769518272425249 loss=0.08039864152669907 epoch=2 and step=300
2022-03-11 20:43:07,813 - SplitNNServer - INFO - 35140 - worker=2 phase=validation acc=0.9773971688034188 loss=0.022286651310143776 epoch=2 server_send=0 server_receive=7536 and step=468
2022-03-11 20:43:08,124 - SplitNNServer - INFO - 35140 - phase=train acc=0.984375 loss=0.026252394542098045 epoch=2 and step=0
2022-03-11 20:43:15,621 - SplitNNServer - INFO - 35140 - phase=train acc=0.9858630952380952 loss=0.025021567940711975 epoch=2 and step=20
2022-03-11 20:43:21,948 - SplitNNServer - INFO - 35140 - phase=train acc=0.9836128048780488 loss=0.07658042758703232 epoch=2 and step=40
2022-03-11 20:43:29,132 - SplitNNServer - INFO - 35140 - phase=train acc=0.9848872950819673 loss=0.004516254644840956 epoch=2 and step=60
2022-03-11 20:43:37,214 - SplitNNServer - INFO - 35140 - phase=train acc=0.9828317901234568 loss=0.07616602629423141 epoch=2 and step=80
2022-03-11 20:43:44,326 - SplitNNServer - INFO - 35140 - phase=train acc=0.9822091584158416 loss=0.12840008735656738 epoch=2 and step=100
2022-03-11 20:43:51,766 - SplitNNServer - INFO - 35140 - phase=train acc=0.9819214876033058 loss=0.12194779515266418 epoch=2 and step=120
2022-03-11 20:43:59,244 - SplitNNServer - INFO - 35140 - phase=train acc=0.9817154255319149 loss=0.03910551592707634 epoch=2 and step=140
2022-03-11 20:44:06,387 - SplitNNServer - INFO - 35140 - phase=train acc=0.9818517080745341 loss=0.021739209070801735 epoch=2 and step=160
2022-03-11 20:44:13,911 - SplitNNServer - INFO - 35140 - phase=train acc=0.9815262430939227 loss=0.019105440005660057 epoch=2 and step=180
2022-03-11 20:44:20,200 - SplitNNServer - INFO - 35140 - phase=train acc=0.9818874378109452 loss=0.048125796020030975 epoch=2 and step=200
2022-03-11 20:44:27,380 - SplitNNServer - INFO - 35140 - phase=train acc=0.9818297511312217 loss=0.0566144734621048 epoch=2 and step=220
2022-03-11 20:44:34,616 - SplitNNServer - INFO - 35140 - phase=train acc=0.9813278008298755 loss=0.062037885189056396 epoch=2 and step=240
2022-03-11 20:44:42,097 - SplitNNServer - INFO - 35140 - phase=train acc=0.9807830459770115 loss=0.08168407529592514 epoch=2 and step=260
2022-03-11 20:44:49,596 - SplitNNServer - INFO - 35140 - phase=train acc=0.9814279359430605 loss=0.043579768389463425 epoch=2 and step=280
2022-03-11 20:44:57,379 - SplitNNServer - INFO - 35140 - phase=train acc=0.9812084717607974 loss=0.10442385822534561 epoch=2 and step=300
2022-03-11 20:45:49,563 - SplitNNServer - INFO - 35140 - worker=3 phase=validation acc=0.9805689102564102 loss=0.020798646696263867 epoch=2 server_send=0 server_receive=7536 and step=468
2022-03-11 20:45:49,869 - SplitNNServer - INFO - 35140 - phase=train acc=1.0 loss=0.017856264486908913 epoch=2 and step=0
2022-03-11 20:45:57,630 - SplitNNServer - INFO - 35140 - phase=train acc=0.9813988095238095 loss=0.05753590166568756 epoch=2 and step=20
